first_name,last_name,position,year,match_type
Sharon,Sabasteanski,Back,2023,Men's Doubles
Benjamin,Apelbaum,Back,2023,Men's Doubles
Carolyn,Quetsch,Back,2023,Men's Doubles
Judie,Fien-helfman,Back,2023,Men's Doubles
Jeremy,Chung,Back,2023,Men's Doubles
Kayla ,Wright,Back,2023,Men's Doubles
Ethan ,Rosenberg,Net,2023,Men's Doubles
Srivanth ,Reddy,Net,2023,Men's Doubles
Ashu ,Machida,Net,2023,Men's Doubles
Michael ,Sabasteanski,Net,2023,Men's Doubles
John,Niswander,Back,2023,Men's Doubles
Evan,Costanza,Back,2023,Women's Singles
Joy,Jiang,Back,2023,Women's Singles
Emma,Fradlin,Back,2023,Women's Singles
Michelle,Fradlin,Back,2023,Women's Singles
Rebecca,White,Back,2023,Women's Singles
Zachary,Spahr,Net,2023,Women's Singles
Joe,Iosue,Net,2023,Women's Singles
Matthew,Lawrenz,Net,2023,Women's Singles
Connor,Akiyama,Net,2023,Women's Singles
Billy,Owens,Back,2023,Women's Singles
Diana,Lozanova,Back,2023,Men's Singles
Jasjeet,Waraich,Back,2023,Men's Singles
Dhruv,Das,Back,2023,Men's Singles
Andrea,Iosue,Back,2023,Men's Singles
Gennaro,Tenore,Back,2023,Men's Singles
Jeff,Zhang,Net,2023,Men's Singles
Jonathan,Chen,Net,2023,Men's Singles
Ryan,Gates,Net,2023,Men's Singles
Dilavar,Waraich,Net,2023,Men's Singles
Gennaro,Tenore,Back,2022,Women's Singles
Pooja,Swamykumar,Back,2022,Women's Singles
Kelly,Xie,Back,2022,Women's Singles
Benjamin,Apelbaum,Back,2022,Women's Singles
Andrea,Iosue,Back,2022,Women's Singles
Joy,Jiang,Back,2022,Women's Singles
Jeff,Zhang,Net,2022,Women's Singles
Carly,Mew,Net,2022,Women's Singles
Ryan,Gates,Net,2022,Women's Singles
Henry,Byrne-Kvalsvik,Net,2022,Women's Singles
Billy,Owens,Back,2022,Men's Singles
Evan,Costanza,Back,2022,Men's Singles
Sharon,Sabasteanski,Back,2022,Men's Singles
Carolyn,Quetsch,Back,2022,Men's Singles
Ethan,Rosenberg,Back,2022,Men's Singles
Matthew,Nicholson,Back,2022,Men's Singles
Ashton,Legum,Net,2022,Men's Singles
Joe,Iosue,Net,2022,Men's Singles
Ted,Kuligowski,Net,2022,Men's Singles
Jonathan,Chen,Net,2022,Men's Singles
John,Niswander,Back,2022,Men's Doubles
Aaron,Zhao,Back,2022,Men's Doubles
Debananda,Das,Back,2022,Men's Doubles
Dhruv,Das,Back,2022,Men's Doubles
Tammy,Peyton,Back,2022,Men's Doubles
Arul,Gupta,Back,2022,Men's Doubles
Matthew,Kolodner,Net,2022,Men's Doubles
Shawn,Lisann,Net,2022,Men's Doubles
Zachary,Spahr,Net,2022,Men's Doubles